"id","userId","employeeNumber","licenseNumber","licenseType","licenseExpiry","competency","status","shift","totalHours","rating","joinDate","resignDate","createdAt","updatedAt"
"cmhsbjo3203pemaftjgregzvy","cmhsbjkg8001umaft7k1vtoc5","OPR-0001","SIM-BTJZY4XB","SIM_B2","2027-03-04T23:02:36.204Z","{""dump_truck"":true,""heavy_equipment"":false,""years_experience"":5}","ACTIVE","SHIFT_1",10309,3.966342117053458,"2020-11-10T23:02:36.204Z",,"2025-11-09T23:02:36.207Z","2025-11-09T23:02:36.207Z"
"cmhsbjo3603pgmaftpv3cvgpu","cmhsbjkga001vmaftqb2dkf24","OPR-0002","SIM-G1WEG7KZ","SIM_B2","2027-09-30T23:02:36.204Z","{""dump_truck"":true,""heavy_equipment"":false,""years_experience"":7}","ACTIVE","SHIFT_2",14297,3.96928126824836,"2018-11-11T23:02:36.204Z",,"2025-11-09T23:02:36.210Z","2025-11-09T23:02:36.210Z"
"cmhsbjo3803pimafts8vtb4a9","cmhsbjkgb001wmaftx85ufi4z","OPR-0003","SIM-RGSKPCN7","OPERATOR_ALAT_BERAT","2026-05-08T23:02:36.204Z","{""dump_truck"":true,""heavy_equipment"":true,""years_experience"":10}","ACTIVE","SHIFT_3",20018,4.280494668346809,"2015-11-12T23:02:36.204Z",,"2025-11-09T23:02:36.212Z","2025-11-09T23:02:36.212Z"
"cmhsbjo3903pkmaftifkvyuw2","cmhsbjkgc001xmaftej7c4ft9","OPR-0004","SIM-2DXYH2L9","OPERATOR_ALAT_BERAT","2027-01-03T23:02:36.204Z","{""dump_truck"":true,""heavy_equipment"":true,""years_experience"":6}","ON_LEAVE","SHIFT_1",12032,4.381390753190154,"2019-11-11T23:02:36.204Z",,"2025-11-09T23:02:36.214Z","2025-11-09T23:02:36.214Z"
"cmhsbjo3c03pmmaftq35qxql3","cmhsbjkge001ymaftl1i6fh6i","OPR-0005","SIM-EEMDRYJQ","SIM_B2","2028-01-28T23:02:36.204Z","{""dump_truck"":true,""heavy_equipment"":false,""years_experience"":5}","ACTIVE","SHIFT_2",10270,4.963092804781962,"2020-11-10T23:02:36.204Z",,"2025-11-09T23:02:36.216Z","2025-11-09T23:02:36.216Z"
"cmhsbjo3e03pomaftaqptdxm9","cmhsbjkgf001zmafta02elvam","OPR-0006","SIM-8MTABRKZ","OPERATOR_ALAT_BERAT","2026-11-04T23:02:36.204Z","{""dump_truck"":true,""heavy_equipment"":true,""years_experience"":5}","ACTIVE","SHIFT_3",10027,3.609223369537988,"2020-11-10T23:02:36.204Z",,"2025-11-09T23:02:36.218Z","2025-11-09T23:02:36.218Z"
"cmhsbjo3g03pqmaftns4bgpwz","cmhsbjkgg0020maftmou9f3i1","OPR-0007","SIM-Q4EH2ZNE","SIM_B2","2028-04-27T23:02:36.204Z","{""dump_truck"":true,""heavy_equipment"":false,""years_experience"":7}","ACTIVE","SHIFT_1",14141,3.738262743971039,"2018-11-11T23:02:36.204Z",,"2025-11-09T23:02:36.220Z","2025-11-09T23:02:36.220Z"
"cmhsbjo3h03psmaftn3w94bh5","cmhsbjkgi0021maft8heoeflx","OPR-0008","SIM-HWCK1MYD","SIM_B2","2028-08-25T23:02:36.204Z","{""dump_truck"":true,""heavy_equipment"":false,""years_experience"":9}","ACTIVE","SHIFT_2",18180,3.946194143012073,"2016-11-11T23:02:36.204Z",,"2025-11-09T23:02:36.222Z","2025-11-09T23:02:36.222Z"
"cmhsbjo3j03pumaftzk9u2mdg","cmhsbjkgj0022maftbtrs9kf1","OPR-0009","SIM-2U1IJO9S","OPERATOR_ALAT_BERAT","2028-01-28T23:02:36.204Z","{""dump_truck"":true,""heavy_equipment"":true,""years_experience"":5}","ACTIVE","SHIFT_3",10247,4.905320409635618,"2020-11-10T23:02:36.204Z",,"2025-11-09T23:02:36.223Z","2025-11-09T23:02:36.223Z"
"cmhsbjo3l03pwmaft6vn89pet","cmhsbjkgk0023mafthepww12l","OPR-0010","SIM-TBHGZXH2","OPERATOR_ALAT_BERAT","2027-08-31T23:02:36.204Z","{""dump_truck"":true,""heavy_equipment"":true,""years_experience"":6}","ACTIVE","SHIFT_1",12224,3.64868040251331,"2019-11-11T23:02:36.204Z",,"2025-11-09T23:02:36.225Z","2025-11-09T23:02:36.225Z"
"cmhsbjo3n03pymaftlgcy64ds","cmhsbjkgl0024maftg0vbi1xo","OPR-0011","SIM-053YM1I1","OPERATOR_ALAT_BERAT","2026-05-08T23:02:36.204Z","{""dump_truck"":true,""heavy_equipment"":true,""years_experience"":5}","ACTIVE","SHIFT_2",10354,3.924181383392293,"2020-11-10T23:02:36.204Z",,"2025-11-09T23:02:36.227Z","2025-11-09T23:02:36.227Z"
"cmhsbjo3p03q0maftpmltmmqn","cmhsbjkgn0025mafttff67ajv","OPR-0012","SIM-WB202MYR","OPERATOR_ALAT_BERAT","2026-09-05T23:02:36.204Z","{""dump_truck"":true,""heavy_equipment"":true,""years_experience"":7}","SICK","SHIFT_3",14384,3.633523808993426,"2018-11-11T23:02:36.204Z",,"2025-11-09T23:02:36.229Z","2025-11-09T23:02:36.229Z"
"cmhsbjo3q03q2maftr5wkkdh4","cmhsbjkgo0026maft7kuznnvc","OPR-0013","SIM-5JODD0KQ","OPERATOR_ALAT_BERAT","2027-11-29T23:02:36.204Z","{""dump_truck"":true,""heavy_equipment"":true,""years_experience"":9}","ACTIVE","SHIFT_1",18429,4.904291935395479,"2016-11-11T23:02:36.204Z",,"2025-11-09T23:02:36.231Z","2025-11-09T23:02:36.231Z"
"cmhsbjo3t03q4maftqdb83mxz","cmhsbjkgq0027maftifno7wgb","OPR-0014","SIM-F8A9P8RS","OPERATOR_ALAT_BERAT","2027-05-03T23:02:36.204Z","{""dump_truck"":true,""heavy_equipment"":true,""years_experience"":9}","ACTIVE","SHIFT_2",18244,4.147981854859454,"2016-11-11T23:02:36.204Z",,"2025-11-09T23:02:36.233Z","2025-11-09T23:02:36.233Z"
"cmhsbjo3v03q6maft6jvqiydt","cmhsbjkgr0028maftjvkw7stv","OPR-0015","SIM-RROI36MS","SIM_B2","2028-02-27T23:02:36.204Z","{""dump_truck"":true,""heavy_equipment"":false,""years_experience"":4}","ACTIVE","SHIFT_3",8238,4.621922739973355,"2021-11-10T23:02:36.204Z",,"2025-11-09T23:02:36.235Z","2025-11-09T23:02:36.235Z"
"cmhsbjo3w03q8maft77b9oz7q","cmhsbjkgs0029maft0tjbceub","OPR-0016","SIM-MBOURB6D","OPERATOR_ALAT_BERAT","2027-01-03T23:02:36.204Z","{""dump_truck"":true,""heavy_equipment"":true,""years_experience"":6}","SICK","SHIFT_1",12146,4.154976366819003,"2019-11-11T23:02:36.204Z",,"2025-11-09T23:02:36.237Z","2025-11-09T23:02:36.237Z"
"cmhsbjo3y03qamaftpmxi8k3b","cmhsbjkgu002amaftustz9s6d","OPR-0017","SIM-FIBNJWRT","SIM_B2","2027-08-01T23:02:36.204Z","{""dump_truck"":true,""heavy_equipment"":false,""years_experience"":5}","ACTIVE","SHIFT_2",10093,3.742773987405018,"2020-11-10T23:02:36.204Z",,"2025-11-09T23:02:36.238Z","2025-11-09T23:02:36.238Z"
"cmhsbjo4003qcmaft5enzwkjh","cmhsbjkgv002bmaft58d57t7w","OPR-0018","SIM-AKN4FR4X","OPERATOR_ALAT_BERAT","2027-10-30T23:02:36.204Z","{""dump_truck"":true,""heavy_equipment"":true,""years_experience"":6}","ACTIVE","SHIFT_3",12484,4.01874811125969,"2019-11-11T23:02:36.204Z",,"2025-11-09T23:02:36.240Z","2025-11-09T23:02:36.240Z"
"cmhsbjo4103qemaft2iitzj4a","cmhsbjkgw002cmaftq375p2l5","OPR-0019","SIM-NM1K41SK","OPERATOR_ALAT_BERAT","2028-12-23T23:02:36.204Z","{""dump_truck"":true,""heavy_equipment"":true,""years_experience"":5}","ACTIVE","SHIFT_1",10325,3.547503132785214,"2020-11-10T23:02:36.204Z",,"2025-11-09T23:02:36.242Z","2025-11-09T23:02:36.242Z"
"cmhsbjo4303qgmaftk76yjk43","cmhsbjkgx002dmaft12n2c8x9","OPR-0020","SIM-LENY81U2","SIM_B2","2026-07-07T23:02:36.204Z","{""dump_truck"":true,""heavy_equipment"":false,""years_experience"":9}","ACTIVE","SHIFT_2",18029,3.815152487376064,"2016-11-11T23:02:36.204Z",,"2025-11-09T23:02:36.243Z","2025-11-09T23:02:36.243Z"
"cmhsbjo4403qimaftt90mafcu","cmhsbjkgz002emaft08l1vbix","OPR-0021","SIM-UUDI0025","OPERATOR_ALAT_BERAT","2028-06-26T23:02:36.204Z","{""dump_truck"":true,""heavy_equipment"":true,""years_experience"":5}","ACTIVE","SHIFT_3",10399,4.511200332814166,"2020-11-10T23:02:36.204Z",,"2025-11-09T23:02:36.245Z","2025-11-09T23:02:36.245Z"
"cmhsbjo4603qkmaftesju7skj","cmhsbjkh0002fmaftroqa5ds0","OPR-0022","SIM-7IBHYA6C","OPERATOR_ALAT_BERAT","2027-06-02T23:02:36.204Z","{""dump_truck"":true,""heavy_equipment"":true,""years_experience"":5}","ACTIVE","SHIFT_1",10243,4.42398566364586,"2020-11-10T23:02:36.204Z",,"2025-11-09T23:02:36.247Z","2025-11-09T23:02:36.247Z"
"cmhsbjo4803qmmaftnrl7nz7s","cmhsbjkh2002gmaftmwfsv5sa","OPR-0023","SIM-THQODUDU","SIM_B2","2026-06-07T23:02:36.204Z","{""dump_truck"":true,""heavy_equipment"":false,""years_experience"":2}","ACTIVE","SHIFT_2",4413,4.101309686298168,"2023-11-10T23:02:36.204Z",,"2025-11-09T23:02:36.249Z","2025-11-09T23:02:36.249Z"
