"id","username","email","password","fullName","role","isActive","lastLogin","createdAt","updatedAt"
"cmhsbjkdk0000maftb419zy59","admin","admin@ptbarasakti.co.id","$2b$10$FXstQWXIuzAoNMEpMwLLTeCGyubfGqr06/BjKl3JKNuxpomPwNxlq","System Administrator","ADMIN",true,"2025-11-09T23:07:24.701Z","2025-11-09T23:02:31.401Z","2025-11-09T23:07:24.702Z"
"cmhsbjkdp0001maftund967le","admin1","fajar.susilo1@ptbarasakti.co.id","$2b$10$FXstQWXIuzAoNMEpMwLLTeCGyubfGqr06/BjKl3JKNuxpomPwNxlq","Fajar Susilo","ADMIN",true,"2025-10-17T23:02:31.403Z","2025-11-09T23:02:31.405Z","2025-11-09T23:02:31.405Z"
"cmhsbjkdq0002maftd9q9pi93","admin2","dedi.hermawan2@ptbarasakti.co.id","$2b$10$FXstQWXIuzAoNMEpMwLLTeCGyubfGqr06/BjKl3JKNuxpomPwNxlq","Dedi Hermawan","ADMIN",true,"2025-11-03T23:02:31.403Z","2025-11-09T23:02:31.407Z","2025-11-09T23:02:31.407Z"
"cmhsbjkds0003maftiu78c3i0","admin3","fajar.hartono3@ptbarasakti.co.id","$2b$10$FXstQWXIuzAoNMEpMwLLTeCGyubfGqr06/BjKl3JKNuxpomPwNxlq","Fajar Hartono","ADMIN",true,"2025-10-30T23:02:31.403Z","2025-11-09T23:02:31.408Z","2025-11-09T23:02:31.408Z"
"cmhsbjkdt0004maftq5hdz0ol","admin4","lia.saputra4@ptbarasakti.co.id","$2b$10$FXstQWXIuzAoNMEpMwLLTeCGyubfGqr06/BjKl3JKNuxpomPwNxlq","Lia Saputra","ADMIN",true,"2025-11-01T23:02:31.403Z","2025-11-09T23:02:31.410Z","2025-11-09T23:02:31.410Z"
"cmhsbjkdv0005maftk0yc9ndo","admin5","lia.nugroho5@ptbarasakti.co.id","$2b$10$FXstQWXIuzAoNMEpMwLLTeCGyubfGqr06/BjKl3JKNuxpomPwNxlq","Lia Nugroho","ADMIN",true,"2025-10-12T23:02:31.403Z","2025-11-09T23:02:31.411Z","2025-11-09T23:02:31.411Z"
"cmhsbjkdw0006maftoug0ufbw","supervisor6","wawan.susilo6@ptbarasakti.co.id","$2b$10$FXstQWXIuzAoNMEpMwLLTeCGyubfGqr06/BjKl3JKNuxpomPwNxlq","Wawan Susilo","SUPERVISOR",true,"2025-10-24T23:02:31.403Z","2025-11-09T23:02:31.413Z","2025-11-09T23:02:31.413Z"
"cmhsbjkdy0007maftlhqh0vpc","supervisor7","wahyu.hermawan7@ptbarasakti.co.id","$2b$10$FXstQWXIuzAoNMEpMwLLTeCGyubfGqr06/BjKl3JKNuxpomPwNxlq","Wahyu Hermawan","SUPERVISOR",true,"2025-11-03T23:02:31.403Z","2025-11-09T23:02:31.414Z","2025-11-09T23:02:31.414Z"
"cmhsbjkdz0008maft3coo45ec","supervisor8","wati.suprapto8@ptbarasakti.co.id","$2b$10$FXstQWXIuzAoNMEpMwLLTeCGyubfGqr06/BjKl3JKNuxpomPwNxlq","Wati Suprapto","SUPERVISOR",true,"2025-11-04T23:02:31.403Z","2025-11-09T23:02:31.416Z","2025-11-09T23:02:31.416Z"
"cmhsbjke10009mafta9mfo3do","supervisor9","agus.utomo9@ptbarasakti.co.id","$2b$10$FXstQWXIuzAoNMEpMwLLTeCGyubfGqr06/BjKl3JKNuxpomPwNxlq","Agus Utomo","SUPERVISOR",true,"2025-10-11T23:02:31.403Z","2025-11-09T23:02:31.417Z","2025-11-09T23:02:31.417Z"
"cmhsbjke2000amaftbrbejd56","supervisor10","rudi.putra10@ptbarasakti.co.id","$2b$10$FXstQWXIuzAoNMEpMwLLTeCGyubfGqr06/BjKl3JKNuxpomPwNxlq","Rudi Putra","SUPERVISOR",true,"2025-10-12T23:02:31.403Z","2025-11-09T23:02:31.419Z","2025-11-09T23:02:31.419Z"
"cmhsbjke4000bmaftfwa6235o","supervisor11","hendra.suprapto11@ptbarasakti.co.id","$2b$10$FXstQWXIuzAoNMEpMwLLTeCGyubfGqr06/BjKl3JKNuxpomPwNxlq","Hendra Suprapto","SUPERVISOR",true,"2025-11-06T23:02:31.403Z","2025-11-09T23:02:31.420Z","2025-11-09T23:02:31.420Z"
"cmhsbjke5000cmaftdepyu2zq","supervisor12","indah.wijaya12@ptbarasakti.co.id","$2b$10$FXstQWXIuzAoNMEpMwLLTeCGyubfGqr06/BjKl3JKNuxpomPwNxlq","Indah Wijaya","SUPERVISOR",true,"2025-10-23T23:02:31.403Z","2025-11-09T23:02:31.421Z","2025-11-09T23:02:31.421Z"
"cmhsbjke6000dmaft50omsmbb","supervisor13","dewi.hartono13@ptbarasakti.co.id","$2b$10$FXstQWXIuzAoNMEpMwLLTeCGyubfGqr06/BjKl3JKNuxpomPwNxlq","Dewi Hartono","SUPERVISOR",true,"2025-10-12T23:02:31.403Z","2025-11-09T23:02:31.423Z","2025-11-09T23:02:31.423Z"
"cmhsbjke8000emaftxno1b7zv","supervisor14","andi.suprapto14@ptbarasakti.co.id","$2b$10$FXstQWXIuzAoNMEpMwLLTeCGyubfGqr06/BjKl3JKNuxpomPwNxlq","Andi Suprapto","SUPERVISOR",true,"2025-11-05T23:02:31.403Z","2025-11-09T23:02:31.425Z","2025-11-09T23:02:31.425Z"
"cmhsbjkea000fmaft6p8hpyc1","supervisor15","indah.firmansyah15@ptbarasakti.co.id","$2b$10$FXstQWXIuzAoNMEpMwLLTeCGyubfGqr06/BjKl3JKNuxpomPwNxlq","Indah Firmansyah","SUPERVISOR",true,"2025-10-30T23:02:31.403Z","2025-11-09T23:02:31.426Z","2025-11-09T23:02:31.426Z"
